,A,B,C,D
0,43,74,91,26
1,89,64,19,27
2,62,51,36,14
3,73,83,71,47
4,89,23,92,17
5,92,50,93,5
6,37,3,56,51
7,41,94,83,42
8,80,6,50,4
9,17,26,33,44
10,37,90,53,3
11,85,61,78,10
12,28,73,49,19
13,61,7,56,21
14,13,20,63,25
15,28,90,66,93
16,90,94,48,81
17,4,73,91,73
18,93,4,69,7
19,77,64,54,86
20,65,61,19,24
21,26,72,29,74
22,49,92,44,44
23,18,55,53,55
24,10,46,34,51
25,25,2,27,76
26,60,56,21,45
27,79,99,13,59
28,19,79,72,41
29,13,54,18,71
30,36,14,71,73
31,19,29,19,95
32,77,28,19,81
33,18,83,53,11
34,23,4,45,55
35,18,0,0,50
36,75,10,10,47
37,20,65,92,41
38,24,90,88,80
39,77,51,21,68
40,74,10,20,7
41,60,63,87,31
42,51,19,40,65
43,14,13,19,12
44,44,99,3,26
45,88,56,55,6
46,3,18,45,32
47,84,6,53,62
48,17,45,5,32
49,3,65,8,16
50,17,15,19,15
51,18,63,64,47
52,9,41,17,19
53,16,60,23,96
54,28,2,23,36
55,80,61,76,89
56,7,99,28,91
57,74,18,24,52
58,47,73,54,80
59,30,86,93,16
60,23,10,95,9
61,98,89,62,50
62,0,57,99,52
63,12,23,94,66
64,4,49,89,30
65,98,80,65,29
66,83,16,13,42
67,62,4,39,7
68,54,27,24,45
69,20,15,9,15
70,79,32,57,54
71,44,12,44,66
72,38,16,34,19
73,49,56,70,51
74,47,78,57,69
75,0,55,49,73
76,41,28,23,88
77,63,98,30,79
78,22,75,25,80
79,82,77,51,36
80,36,29,3,91
81,44,30,29,45
82,75,45,93,91
83,13,21,62,61
84,85,4,15,37
85,0,17,68,72
86,69,67,97,6
87,20,36,74,74
88,57,75,61,54
89,20,39,62,60
90,73,82,13,75
91,61,52,8,58
92,64,74,75,48
93,82,72,31,78
94,85,75,93,37
95,9,62,64,75
96,67,31,67,37
97,11,52,47,44
98,18,59,90,65
99,89,97,62,27
