,A,B,C,D
0,26,97,84,17
1,53,54,50,91
2,32,49,45,19
3,43,15,18,16
4,73,4,54,51
5,79,15,4,91
6,49,67,35,21
7,4,52,86,57
8,63,91,67,83
9,28,26,66,7
10,0,51,68,72
11,51,74,14,91
12,4,75,95,54
13,0,8,76,10
14,21,79,43,55
15,16,73,37,64
16,74,77,50,9
17,58,50,11,76
18,31,11,37,74
19,92,27,42,31
20,68,1,9,8
21,8,22,57,69
22,56,65,17,17
23,10,97,16,80
24,46,61,36,31
25,95,51,3,59
26,94,44,76,49
27,59,60,7,2
28,97,7,72,58
29,7,68,68,54
30,49,92,38,17
31,36,87,24,84
32,4,9,62,18
33,27,48,57,22
34,43,7,25,5
35,95,38,54,22
36,97,32,82,15
37,45,33,99,37
38,92,14,38,46
39,87,9,5,83
40,36,30,47,62
41,94,76,93,75
42,16,43,69,77
43,1,48,50,42
44,5,94,51,79
45,19,46,17,65
46,91,58,74,68
47,37,38,55,61
48,27,26,6,31
49,12,36,7,35
50,63,21,83,61
51,47,46,29,14
52,34,64,41,99
53,26,62,86,2
54,57,31,99,66
55,94,67,58,68
56,26,56,45,23
57,3,27,54,48
58,79,15,85,4
59,39,84,32,82
60,85,35,24,54
61,59,98,88,50
62,49,74,73,26
63,19,3,56,3
64,62,94,79,70
65,90,43,76,71
66,92,84,40,1
67,42,86,55,91
68,65,34,98,88
69,59,73,74,81
70,8,44,58,15
71,84,25,51,65
72,76,56,34,81
73,82,42,35,76
74,2,64,12,85
75,84,13,77,71
76,40,80,29,83
77,80,81,38,63
78,79,2,67,63
79,96,19,14,52
80,58,37,90,25
81,56,14,33,99
82,34,44,71,10
83,22,39,37,73
84,97,49,29,87
85,81,97,94,13
86,46,78,52,83
87,30,53,20,56
88,31,83,87,42
89,59,97,21,27
90,39,76,75,72
91,67,13,8,84
92,14,16,93,38
93,45,21,24,96
94,32,77,20,11
95,72,13,20,16
96,77,83,9,17
97,56,32,23,1
98,17,20,39,91
99,2,54,2,60
