,A,B,C,D
0,24,55,58,30
1,56,59,10,84
2,86,92,79,62
3,42,30,28,97
4,7,18,2,94
5,9,16,49,5
6,51,14,90,11
7,29,40,84,89
8,85,62,87,91
9,46,15,69,2
10,14,72,69,49
11,69,43,26,44
12,64,40,92,75
13,47,92,24,18
14,43,38,12,42
15,70,30,79,32
16,20,55,39,61
17,5,11,37,62
18,11,33,73,40
19,52,88,97,17
20,97,17,11,86
21,54,42,78,27
22,64,87,8,38
23,46,64,38,91
24,23,7,42,24
25,18,59,39,55
26,65,13,51,8
27,32,14,44,71
28,80,46,84,62
29,14,66,56,88
30,48,53,30,6
31,10,55,33,78
32,46,79,4,86
33,54,95,15,75
34,57,14,73,88
35,89,98,33,32
36,2,7,79,29
37,51,61,52,86
38,10,63,65,77
39,5,54,85,26
40,99,45,51,82
41,8,48,93,48
42,63,95,56,98
43,2,2,15,8
44,42,54,72,96
45,27,9,90,46
46,11,44,85,51
47,99,71,2,86
48,3,18,33,61
49,49,44,34,56
50,98,97,63,74
51,67,73,87,68
52,60,74,69,15
53,53,17,98,73
54,75,12,66,27
55,13,42,2,92
56,38,39,72,99
57,7,71,56,46
58,0,54,98,10
59,60,10,79,90
60,8,9,9,34
61,71,62,92,50
62,90,6,11,57
63,81,32,55,3
64,45,94,88,97
65,51,34,20,40
66,12,11,88,90
67,88,52,32,96
68,62,31,26,73
69,87,83,64,77
70,6,33,56,48
71,73,14,58,58
72,33,36,86,33
73,77,61,99,62
74,54,71,69,76
75,46,78,39,97
76,75,70,88,48
77,28,78,95,35
78,42,85,32,21
79,59,35,2,92
80,67,87,82,16
81,27,9,4,41
82,21,9,86,66
83,9,23,35,13
84,47,96,37,93
85,62,59,99,59
86,56,85,8,38
87,52,37,27,58
88,36,33,34,10
89,60,90,28,45
90,56,93,57,31
91,47,30,58,14
92,6,86,72,76
93,58,36,5,86
94,63,56,68,75
95,7,58,75,49
96,76,71,99,98
97,84,55,73,76
98,76,83,39,1
99,41,90,97,66
