,A,B,C,D
0,20,1,5,33
1,56,50,90,88
2,80,44,8,6
3,23,7,36,2
4,60,91,92,82
5,63,61,33,35
6,85,0,78,46
7,95,10,89,5
8,91,93,95,93
9,85,62,94,81
10,45,2,10,37
11,73,10,22,98
12,51,97,76,58
13,82,39,77,38
14,71,94,99,50
15,24,48,76,97
16,37,29,12,81
17,12,1,95,27
18,19,52,3,50
19,88,74,46,4
20,29,17,96,55
21,97,24,55,92
22,20,12,36,54
23,21,9,42,9
24,91,68,29,40
25,18,84,23,27
26,73,56,4,41
27,43,34,29,87
28,4,31,80,89
29,78,27,3,17
30,1,60,22,32
31,17,95,54,68
32,51,78,74,34
33,0,79,69,71
34,40,96,2,77
35,75,72,59,63
36,42,87,93,33
37,60,4,41,66
38,15,53,96,45
39,45,28,66,67
40,84,96,86,0
41,36,95,65,83
42,50,26,3,29
43,97,87,53,47
44,88,11,14,73
45,40,4,67,40
46,30,75,10,3
47,81,90,71,11
48,68,55,16,39
49,19,82,91,74
50,90,51,82,25
51,24,13,6,30
52,20,34,31,77
53,4,78,75,97
54,42,56,41,80
55,51,52,28,6
56,58,55,83,28
57,87,97,73,78
58,6,48,54,81
59,11,38,86,71
60,16,69,91,45
61,13,56,9,28
62,22,32,15,82
63,42,41,10,60
64,62,9,40,67
65,6,55,77,30
66,24,74,64,88
67,34,6,26,62
68,28,2,59,20
69,81,17,48,74
70,61,40,68,13
71,4,78,59,26
72,86,82,48,11
73,71,57,29,95
74,97,83,33,62
75,0,22,52,52
76,11,62,77,66
77,39,73,56,57
78,40,93,74,91
79,17,55,72,40
80,41,75,99,19
81,2,46,65,9
82,69,1,59,47
83,95,51,60,29
84,36,2,49,92
85,85,56,69,72
86,86,30,26,62
87,41,98,84,0
88,84,87,18,69
89,32,19,92,76
90,29,29,54,65
91,61,77,26,12
92,94,48,57,93
93,54,79,0,47
94,80,26,96,55
95,24,50,57,86
96,37,2,44,13
97,11,94,90,60
98,19,34,86,53
99,63,15,22,88
