,A,B,C,D
0,77,81,13,1
1,0,50,17,55
2,11,76,57,24
3,44,30,32,17
4,73,24,84,95
5,62,52,99,82
6,80,1,54,95
7,9,28,63,97
8,77,38,74,41
9,24,42,13,10
10,27,5,8,17
11,69,32,4,49
12,92,58,97,88
13,38,70,42,17
14,48,11,96,71
15,36,49,74,68
16,41,4,24,45
17,93,52,43,32
18,79,84,15,62
19,63,18,49,59
20,18,57,24,20
21,94,9,89,53
22,85,7,51,84
23,39,11,45,67
24,86,75,8,99
25,32,9,44,78
26,11,43,67,19
27,20,85,30,72
28,68,49,5,16
29,97,57,60,75
30,20,17,58,17
31,20,19,29,68
32,66,46,71,36
33,60,77,49,5
34,91,61,38,11
35,97,68,15,87
36,53,29,54,50
37,49,35,68,49
38,81,58,58,89
39,93,3,97,99
40,16,54,15,42
41,78,0,17,97
42,7,0,41,66
43,82,76,72,36
44,19,39,40,40
45,0,77,25,38
46,87,15,1,46
47,77,45,17,89
48,78,83,52,87
49,44,95,94,66
50,70,69,37,52
51,4,3,40,49
52,39,62,13,97
53,87,55,52,25
54,60,59,54,34
55,69,42,2,1
56,62,27,30,83
57,89,7,88,19
58,46,34,27,87
59,96,19,52,21
60,32,90,42,0
61,14,92,84,97
62,91,44,93,66
63,38,77,33,0
64,4,57,10,15
65,84,11,14,52
66,81,62,5,9
67,91,6,52,96
68,2,77,22,6
69,75,45,3,86
70,77,79,10,36
71,76,61,37,52
72,83,58,27,95
73,81,35,25,7
74,50,61,5,95
75,43,82,93,87
76,41,12,91,34
77,10,77,76,19
78,79,85,35,80
79,20,78,78,75
80,42,2,78,89
81,59,92,23,20
82,2,31,46,23
83,45,52,51,61
84,64,28,78,17
85,52,83,40,11
86,70,37,94,92
87,97,96,52,99
88,1,2,96,87
89,41,97,9,34
90,87,51,14,70
91,23,74,14,35
92,8,91,65,9
93,29,68,20,41
94,78,72,77,98
95,97,36,8,48
96,62,65,94,9
97,64,35,36,12
98,67,26,9,47
99,26,30,46,94
