,A,B,C,D
0,63,32,62,86
1,11,62,9,30
2,45,65,2,52
3,1,88,0,24
4,79,63,96,15
5,40,68,8,29
6,94,73,33,60
7,27,34,57,82
8,90,1,72,34
9,69,26,25,7
10,69,53,12,30
11,34,54,44,50
12,30,1,96,37
13,10,36,10,35
14,55,42,6,4
15,74,96,5,74
16,93,99,33,43
17,84,51,49,57
18,63,54,27,42
19,95,94,31,98
20,82,2,9,84
21,86,9,11,3
22,14,23,68,20
23,62,43,97,16
24,30,23,47,70
25,62,89,77,64
26,55,6,6,16
27,43,3,11,69
28,77,54,84,78
29,64,68,61,8
30,22,56,89,46
31,46,89,75,59
32,24,72,42,65
33,46,20,83,18
34,63,58,53,52
35,31,76,37,82
36,12,57,37,51
37,38,46,8,18
38,27,16,60,43
39,83,20,90,17
40,78,19,78,62
41,33,47,5,64
42,87,0,4,37
43,84,53,17,23
44,9,16,59,75
45,86,25,76,24
46,97,58,0,9
47,61,60,79,47
48,79,88,7,21
49,71,0,9,54
50,10,26,48,45
51,53,97,46,43
52,54,84,13,73
53,90,31,20,96
54,40,55,11,57
55,55,91,19,27
56,57,78,56,76
57,81,58,77,25
58,7,71,89,12
59,28,67,84,99
60,70,56,29,67
61,64,62,64,5
62,70,32,11,32
63,14,12,22,91
64,27,49,7,78
65,29,98,12,84
66,57,99,20,42
67,21,34,56,73
68,5,66,18,40
69,40,88,9,52
70,44,9,64,28
71,94,78,98,71
72,54,98,76,22
73,77,50,94,8
74,24,99,43,74
75,75,94,34,69
76,42,96,1,93
77,88,41,62,52
78,27,58,12,31
79,40,58,90,25
80,94,83,13,29
81,57,17,0,87
82,6,60,90,98
83,73,71,64,17
84,81,95,30,68
85,18,20,17,11
86,20,83,92,71
87,44,88,29,8
88,75,73,19,70
89,43,0,56,42
90,6,19,40,68
91,12,46,11,18
92,73,74,58,2
93,48,46,56,67
94,93,68,20,14
95,76,62,46,5
96,48,46,15,16
97,32,37,90,69
98,20,53,72,28
99,23,22,28,68
